,index,id,text,timestamp,replyCount,retweetCount,likeCount,quoteCount,viewCount,keywords
0,0,1647348954567147520,"['hi', 'lost', 'set', 'key', 'around', 'bishop', 'parksw6', 'anyone', 'find', 'please', 'let', 'know', 'thank', 'advance', 'nick']",2023-04-15T21:19:31+00:00,0,0,0,0,39.0,key
1,1,1647279298745708546,"['lost', 'black', 'chanel', 'cardholder', 'waterloo', 'station', 'passport', 'card', 'driving', 'licence', 'inside']",2023-04-15T16:42:44+00:00,0,0,0,0,64.0,card
2,2,1647199320066727937,"['lost', 'small', 'black', 'card', 'holder', 'ysl', 'finsbury', 'park', 'station', 'euston', 'station', '13', 'april', 'brp', 'several', 'bank', 'card', 'anyone', 'seen', 'handed', 'anywhere', 'please', 'let', 'know', 'thank', 'really', 'appreciate', 'help']",2023-04-15T11:24:56+00:00,0,0,0,0,103.0,card
3,3,1646958095304740875,"['lost', 'white', 'envelope', 'cash', '50', 'somewhere', 'insidebetween', 'hsbc', 'branch', 'oxford', 'circu', 'oxford', 'circu', 'underground', 'station', 'nike', 'store', 'entrance', 'side', 'saving', 'going', 'give', 'mum', 'live', 'back', 'home', 'know', 'chance', 'getting', 'back', 'les', 'slim', 'hoping', 'honest', 'person']",2023-04-14T19:26:23+00:00,0,0,0,0,103.0,back
4,4,1646816715219632129,"['lost', 'black', 'kate', 'spade', 'purse', 'driving', 'license']",2023-04-14T10:04:35+00:00,0,0,0,0,54.0,black
5,5,1646100552676261890,"['black', 'little', 'wallet', 'kate', 'spade', 'mexican', 'id', 'oyster', 'card']",2023-04-12T10:38:49+00:00,0,0,0,0,87.0,card
6,6,1644704946967773184,"['lost', 'airpod', 'case', 'waterloo', 'station', 'barrier', 'apple', 'airpod', 'pro', 'charging', 'case', 'black', 'silicone', 'case', 'ring', 'hang', 'thing', 'take', 'airpod', 'case', 'personalisation', 'bryce', 'please', 'let', 'know', 'found', 'thank']",2023-04-08T14:13:11+00:00,0,0,0,0,105.0,black
7,7,1644644650953613312,"['hi', 'lost', 'phone', 'somewhere', 'wardour', 'street', 'leicester', 'squarelondon', '7th', 'april', 'noticed', 'bag', 'open', 'nearby', 'mm', 'store', 'would', 'great', 'anyone', 'found', 'phone', 'please', 'let', 'know', 'special', 'gift', 'given', 'someone', 'special', 'samsung', 'a53', '5g', 'dark', 'blue', 'case', 'name', 'written']",2023-04-08T10:13:35+00:00,0,0,0,0,97.0,bag
8,8,1644483095507206145,"['delicate', 'gold', 'necklace', 'pendulum', 'swinging', 'diamond', 'lost', 'around', 'boroughbermondsey', 'immense', 'sentimental', 'value']",2023-04-07T23:31:37+00:00,0,0,0,0,79.0,gold
9,9,1644472336257515520,"['good', 'night', 'spanish', 'holiday', 'lost', 'backpack', 'wallet', 'copy', 'spanish', 'identify', 'document', '15', 'hyde', 'park', 'near', 'lake', 'please', 'contact', 'phone', 'number', '676828259']",2023-04-07T22:48:52+00:00,0,0,0,0,91.0,wallet
10,10,1644156068778344448,"['lost', 'sentimental', 'white', 'gold', 'diamond', 'bracelet', 'wednesday', '5th', 'april', 'travelled', 'paddington', 'king', 'cros', 'euston', 'area', 'heartbroken', 'unusual', 'square', 'diamond', 'channel', 'tenni', 'bracelet', 'gift', 'late', 'mum']",2023-04-07T01:52:08+00:00,0,0,0,0,127.0,gold
11,11,1644155477515812864,"['lost', 'sentimental', 'white', 'gold', 'diamond', 'bracelet', 'wednesday', '5th', 'april', 'travelled', 'paddington', 'king', 'cros', 'euston', 'area', 'heartbroken', 'unusual', 'square', 'diamond', 'channel', 'tenni', 'bracelet', 'gift', 'late', 'mum']",2023-04-07T01:49:47+00:00,0,0,0,0,117.0,gold
12,12,1644088266289758209,"['found', 'airpod', 'case', 'running']",2023-04-06T21:22:43+00:00,0,0,0,0,101.0,case
13,13,1643956591350235137,"['hello', 'lost', 'purse', 'harrow', 'st', 'anne', 'shopping', 'center', 'care', 'purse', 'document', 'particularly', 'biometric', 'residence', 'permit', 'son', 'brown', 'mk', 'purse', 'reward', 'offered', 'person', 'find', 'please']",2023-04-06T12:39:29+00:00,0,0,0,0,60.0,purse
14,14,1643939065958416385,"['hi', 'got', 'married', 'last', 'sunday', 'currently', 'honeymoon', 'london', 'realized', 'wedding', 'ring', 'disappeared', 'went', 'green', 'park', 'tube', 'station', 'toilet', 'help', 'would', 'grately', 'appreciated', 'xx']",2023-04-06T11:29:50+00:00,0,0,0,0,78.0,ring
15,15,1643687437451894803,"['wallet', 'taken', 'backpack', 'cash', 'credit', 'card', 'me', 'green', 'card', 'want', 'green', 'card', 'back', 'please', 'pay', 'reward', 'anyone', 'willing', 'come', 'forward', 'return']",2023-04-05T18:49:57+00:00,0,0,0,0,75.0,card
16,16,1643257259466665985,"['small', 'white', 'portable', 'charger', 'fell', 'pocket', 'walking', 'nocycle', 'road', 'dropped', 'pin', 'httpsmapsappgooglxjixpmepz4r', '4ksyj7gstic', 'product', 'correct', 'colour', 'iwalk', 'mini', 'portable', 'charger', 'httpswwwamazoncoukdpb07y4rb', 'lp6refppxpopmobapshare']",2023-04-04T14:20:35+00:00,0,0,0,0,74.0,small
17,17,1642800217375363074,"['gold', 'cros', 'late', 'mum', 'left', 'lost', 'around', '7830pm', 'sunday', 'evening', 'outside', 'canon', 'park', 'station', 'priceles', 'pay', 'whatever', 'take', 'get', 'back']",2023-04-03T08:04:28+00:00,0,0,0,0,80.0,gold
18,18,1642729465171046400,"['found', 'small', 'black', 'mont', 'blanc', 'walletcard', 'holder', 'bank', 'card', 'inside', 'contacted', 'bank', 'told', 'card', 'cancelled', 'cannot', 'take', 'detail', 'pas', 'please', 'let', 'know', 'confirming', 'name', 'bank', 'card', 'identifying', 'factor']",2023-04-03T03:23:19+00:00,0,0,0,0,119.0,card
19,19,1641940758671368192,"['lost', 'key', 'fob', 'grey', 'colour', '2', 'keyring', 'one', 'gold', 'pink', 'one', 'blue', 'white', 'plu', 'tesco', 'clubcard', 'waitrose', 'card', 'there', 'one', 'found', 'please', 'let', 'know', 'many', 'thank']",2023-03-31T23:09:17+00:00,0,0,0,0,59.0,card
20,20,1641363574416109568,"['lost', 'gold', 'left', 'colour', 'hearing', 'aid', 'near', 'leadenhall', 'building']",2023-03-30T08:55:45+00:00,0,0,0,0,71.0,gold
21,21,1641132214317350929,"['hello', 'maybe', 'kind', 'soul', 'found', 'pandora', 'bracelet', 'charm', 'march', '2526', 'ealing', 'broadwaythe', 'red', 'room', 'bar', 'great', 'sentimental', 'value', 'one', 'pendant', 'disney', 'mickey', 'mouse', 'minnie', 'picture', 'reward', 'await', 'honest', 'finder']",2023-03-29T17:36:25+00:00,0,0,0,0,76.0,one
22,22,1641119481735921667,"['lost', 'wallet', 'superdry', 'grey', 'one', 'inside', 'several', 'card', 'think', 'please', 'call', '33651882859', 'find']",2023-03-29T16:45:49+00:00,0,0,0,0,67.0,card
23,23,1641051159103262720,"['found', 'necklace', 'floor', 'tube', 'morning', 'lost', 'please', 'let', 'know', 'describing']",2023-03-29T12:14:20+00:00,0,0,0,0,58.0,necklace
24,24,1641010729036787714,"['last', 'sunday', 'morning', '26th', 'march', 'lost', 'tote', 'bag', 'grand', 'avenue', 'smithfield', 'market', 'case', 'glass', 'waiting', 'taxi', 'short', 'description', 'item', 'corresponding', 'picture', 'tote', 'bag', 'blue', 'yellow', 'orange', 'motif', 'ii', 'case', 'glass', 'light', 'blue', 'yellow', 'white', 'black', 'motif', 'iii', 'black', 'glass', 'brand', 'dandy', 'optical', 'nerio', 'line', 'happy', 'pay', '50', 'finder', 'fee', 'thank']",2023-03-29T09:33:40+00:00,0,0,0,0,57.0,black
25,25,1640653757774983170,"['grey', 'lowe', 'alpine', 'bag', 'mountain', 'biking', 'clothe', 'bike', 'lock', 'inside', 'fairly', 'banged', 'gear', 'worth', 'much', 'anyone', 'else', 'annoyingly', 'expensive', 'replace', 'got', 'lifted', 'restaurant', 'koi', 'brixton', 'arch', 'anyone', 'spot', 'alley', 'etc', 'happy', 'pay', '50', 'finder', 'fee']",2023-03-28T09:55:12+00:00,0,0,0,0,65.0,bag
26,26,1640450406533701635,"['small', 'silver', 'bracelet', 'small', 'pearl', 'belonged', 'late', 'mother', 'grateful', 'found']",2023-03-27T20:27:09+00:00,0,0,0,0,61.0,small
27,27,1640358284811968513,"['airtag', 'name', 'jeff', 'dropped', 'thief', 'likely', 'trench', 'building']",2023-03-27T14:21:06+00:00,0,0,0,0,63.0,name
28,28,1640357760070983686,"['continuously', 'get', 'stolen', 'item', 'trench', 'building', 'chucked', 'thief', 'one', 'black', 'leather', 'zara', 'bag', 'fold', 'clasp']",2023-03-27T14:19:01+00:00,0,0,0,0,65.0,black
29,29,1640315664031264771,"['dkny', 'prescription', 'glass', 'lost', 'morning', 'walking', 'oxford', 'circu', 'tube', 'station', 'costa', 'coffee']",2023-03-27T11:31:44+00:00,0,0,0,0,111.0,station
30,30,1639949425534533633,"['lost', 'favorite', 'earring', 'rose', 'gold', 'color', 'shape', 'heart', 'tiny', 'butterfly', 'center', 'could', 'please', 'let', 'know', 'anyone', 'see']",2023-03-26T11:16:26+00:00,0,0,0,0,84.0,gold
31,31,1638729798217519105,"['card', 'bag', 'lost', '19th', 'march', 'regent', 'street', 'chinatown', 'area', 'black', 'ysl', 'silver', 'buckle', 'lychee', 'skin', 'four', 'card', 'cash', 'please', 'get', 'touch', 'anyone', 'found', 'thank']",2023-03-23T02:30:04+00:00,0,0,0,0,88.0,card
32,32,1638315429310414848,"['lost', 'one', 'kind', 'engagement', 'ring', 'last', 'week', 'tuesday', 'night', 'arrived', 'terminal', '3', 'used', 'bathroom', 'getting', 'uk', 'border', 'left', 'sink', 'super', 'unique', 'shape', 'stone', 'happy', 'provide', 'detailed', 'description', 'believe', 'found', 'mean', 'world', 'family', 'offer', 'reward', 'returned']",2023-03-21T23:03:31+00:00,0,0,0,0,99.0,ring
33,33,1637990328736071680,"['hello', 'lost', 'plushie', 'still', 'find', 'ithi', 'size', 'around', '10', 'cm', 'think', 'lost', 'covent', 'garden', 'area', 'st', 'pancra', 'international', 'anyone', 'saw', 'please', 'send', 'home']",2023-03-21T01:31:41+00:00,0,0,0,0,110.0,area
34,34,1637782437613776901,"['found', 'women', 'link', 'bracelet', 'near', 'bu', 'stop', 'holland', 'street', 'clasp', 'intact', 'may', 'fallen', 'someone', 'wrist', 'send', 'description', 'might']",2023-03-20T11:45:36+00:00,0,0,0,0,111.0,street
35,35,1637573808491048962,"['hi', 'lost', 'iphone', '12', 'pro', 'max', 'colour', 'blue', 'around', 'area', 'friday', '10th', 'march', 'iphone', 'put', 'lost', 'mode', 'anybody', 'found', 'left', 'lost', 'found', 'please', 'get', 'contact', 'reward', 'given', 'device', 'returned']",2023-03-19T21:56:35+00:00,0,0,0,0,93.0,blue
36,36,1637511373537067009,"['lost', 'airpod', 'pro', 'february', '28', '2023', 'know', 'exactly', 'gatwick', 'airport', 'bu', 'airport']",2023-03-19T17:48:29+00:00,0,0,0,0,108.0,airpod
37,37,1637422918408830982,"['iphone', '11', 'cracked', 'back', 'lot', 'chipped', 'side']",2023-03-19T11:57:00+00:00,0,0,0,0,97.0,back
38,38,1637100340569862146,"['engraved', 'luxury', 'silver', 'bracelet', 'found', 'metropolitan', 'line', 'aldgate', 'king', 'cros']",2023-03-18T14:35:11+00:00,0,0,0,0,91.0,silver
39,39,1637099206526500865,"['samsung', 'galaxy', 's22', 'black', 'lost', 'either', 'camden', 'head', 'pub', 'york', 'bill', 'murray', 'comedy', 'club', 'five', 'guy', 'also']",2023-03-18T14:30:41+00:00,0,0,0,0,92.0,black
40,40,1636750124251586562,"['hi', 'lost', 'chain', 'cros', 'pendant', 'kensington', 'high', 'street', 'station', '15', 'young', 'street']",2023-03-17T15:23:33+00:00,0,0,0,0,81.0,station
